Age,Annual_Income,Monthly_Inhand_Salary,Outstanding_Debt,Credit_Utilization_Ratio,Credit_Score
-0.1277243177702479,-0.11003104476496674,-0.744337067001168,-0.5334845229317702,-1.0675617702843003,0
-0.1277243177702479,-0.11003104476496674,-0.31584931325763743,-0.5334845229317702,-0.06648865957644498,0
-0.8898469285018265,-0.11003104476496674,-0.31584931325763743,-0.5334845229317702,-0.7183757323990299,0
-0.1277243177702479,-0.11003104476496674,-0.31584931325763743,-0.5334845229317702,-0.17731822127948732,0
-0.1277243177702479,-0.11003104476496674,-0.744337067001168,-0.5334845229317702,-1.4633663997754454,0
-0.1277243177702479,-0.11003104476496674,-0.31584931325763743,-0.5334845229317702,-0.9816418916463193,0
-0.1277243177702479,-0.11003104476496674,-0.744337067001168,-0.5334845229317702,-1.9049963291629193,0
-0.1277243177702479,-0.11003104476496674,-0.744337067001168,-0.5334845229317702,-1.6321327684737754,2
-0.12043825074604542,-0.09902544879223373,-0.3346780086799122,-0.7109114771417071,-1.5285073174809927,2
-0.12043825074604542,-0.09902544879223373,-0.3346780086799122,-0.7109114771417071,1.2245183159108244,0
-0.12043825074604542,-0.09902544879223373,-0.3346780086799122,-0.7109114771417071,0.1836634574296648,2
-0.12043825074604542,-0.09902544879223373,-0.31584931325763743,-0.7109114771417071,1.347994142838466,0
-0.12043825074604542,-0.09902544879223373,-0.3346780086799122,-0.7109114771417071,0.5262461277526392,0
-0.12043825074604542,-0.09902544879223373,-0.3346780086799122,-0.7109114771417071,0.21416257890076598,0
-0.12043825074604542,-0.09902544879223373,-0.31584931325763743,-0.7109114771417071,-0.2254259990666655,0
-0.12043825074604542,-0.09902544879223373,-0.3346780086799122,-0.7109114771417071,0.12677405823447357,0
-0.11169497031700244,-0.02326021802243607,2.7548714358991373,-0.10666426806899784,-0.7169328912606441,0
-0.11169497031700244,-0.02326021802243607,2.7548714358991373,-0.10666426806899784,1.840468618686718,0
-0.11169497031700244,-0.02326021802243607,-0.31584931325763743,-0.10666426806899784,-1.1267396360781017,0
-0.11169497031700244,-0.02326021802243607,2.7548714358991373,-0.10666426806899784,1.4103357171898843,0
-0.11169497031700244,-0.02326021802243607,2.7548714358991373,-0.10666426806899784,-0.17765285988378854,0
-0.11169497031700244,-0.02326021802243607,2.7548714358991373,-0.10666426806899784,1.465515247227317,0
-0.11169497031700244,-0.02326021802243607,2.7548714358991373,-0.10666426806899784,1.130275792732389,2
-0.11169497031700244,-0.02326021802243607,2.7548714358991373,-0.10666426806899784,1.1901034896270053,2
-0.08255070222019256,-0.10193389751096174,-0.4783611313691392,-0.68716509337016,-1.1219684712051132,2
-0.08255070222019256,-0.10193389751096174,-0.4783611313691392,-0.68716509337016,0.5852838291272238,2
-0.08109348881535207,-0.10193389751096174,-0.4783611313691392,-0.68716509337016,0.003125148180259227,2
-0.08109348881535207,-0.10193389751096174,-0.4783611313691392,-0.68716509337016,1.1427296601071117,2
-0.08109348881535207,-0.10193389751096174,-0.4783611313691392,-0.68716509337016,1.7333212659063493,2
-0.08109348881535207,-0.10193389751096174,-0.4783611313691392,-0.68716509337016,-0.9458458255617889,2
-0.08109348881535207,-0.10193389751096174,-0.4783611313691392,-0.68716509337016,-1.217307106211618,2
-0.08109348881535207,-0.10193389751096174,-0.4783611313691392,-0.68716509337016,-0.9679115254844403,2
-0.13063874457992888,-0.09853589600666003,-0.3970406402539144,-0.4175834708233225,1.4682065075460793,2
-0.13063874457992888,-0.09853589600666003,-0.31584931325763743,-0.4175834708233225,-1.0289167738367622,2
-0.13063874457992888,-0.09853589600666003,-0.3970406402539144,-0.4175834708233225,-1.7242777039138564,2
-0.13063874457992888,-0.09853589600666003,-0.3970406402539144,-0.4175834708233225,-0.6566968112367044,2
-0.13063874457992888,-0.09853589600666003,-0.3970406402539144,-0.4175834708233225,1.8548551522018615,2
-0.13063874457992888,-0.09853589600666003,-0.31584931325763743,-0.4175834708233225,-0.5995126885833293,2
-0.13063874457992888,-0.09853589600666003,-0.3970406402539144,-0.4175834708233225,-1.1767689949895135,2
-0.13063874457992888,-0.09853589600666003,-0.3970406402539144,-0.4175834708233225,-1.2551180296695619,2
-0.11606661053152394,-0.07168890574431443,-0.31584931325763743,-0.7601096904022618,1.5004374305193644,0
-0.11606661053152394,-0.07168890574431443,0.6617322757365478,-0.7601096904022618,2.0490522368483193,0
-0.11606661053152394,-0.07168890574431443,0.6617322757365478,-0.7601096904022618,1.6469145779092762,0
-0.11606661053152394,-0.07168890574431443,0.6617322757365478,-0.7601096904022618,-0.4071870433070927,0
-0.11606661053152394,-0.07168890574431443,0.6617322757365478,-0.7601096904022618,-1.1631888154405758,0
-0.11606661053152394,-0.07168890574431443,0.6617322757365478,-0.7601096904022618,0.5843955374969076,0
-0.11606661053152394,-0.07168890574431443,0.6617322757365478,-0.7601096904022618,0.8481036534320769,2
